CREDORA;DEVEDORA;CICLO REFERÊNCIA;PERÍODO DE TRÁFEGO;POI;TIPO RELATÓRIO;REMUNERACAO;DESCRITOR;GH;CHAMADAS;DURAÇÃO;TARIFA;VALOR LÍQUIDO;PIS/COFINS;VALOR ICMS;TOTAL(R$);TOTAL_REAL (R$);OPERATION TYPE;EOT
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;1;0,5;0,00631;0;0;0;0;;F;049
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;2981;13900,5;0,01275;177,24;6,7;0;183,94;;F;286
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;3486;9506,3;0,00605;57,51;2,18;0;59,69;;F;021
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;9965;15137,7;0,00423;64,03;2,42;0;66,45;;F;081
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;63088;137500,1;0,00605;831,86;31,53;0;863,39;;F;081
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;49803;161324,5;0,01275;2056,89;77,92;0;2134,81;;F;062
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;3481;7842,9;0,01275;100,01;3,79;0;103,8;;F;041
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;1175;4276,4;0,01275;54,54;2,08;0;56,62;;F;247
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;421;1392,5;0,01275;17,75;0,66;0;18,41;;F;221
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;3068;3644,5;0,00608;22,16;0,83;0;22,99;;F;041
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;12;20,2;0,00425;0,09;0;0;0,09;;F;251
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;R;1;0,5;0,01049;0,01;0;0;0,01;;M;F55
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;N;1;6,5;0,01686;0,11;0;0;0,11;;M;J55
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;225831;839204,6;0,01275;10699,87;405,34;0;11105,21;;F;079
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;15;7,6;0,01275;0,1;0;0;0,1;;M;060
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;12;17,8;0,00425;0,08;0;0;0,08;;F;247
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;251;212,8;0,00631;1,35;0,05;0;1,4;;F;049
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;29869;69017,1;0,01275;879,98;33,34;0;913,32;;F;085
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;826;3799,5;0,00631;23,98;0,91;0;24,89;;F;035
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;18755;38038,5;0,00605;230,14;8,72;0;238,86;;F;208
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;105;251;0,00423;1,06;0,04;0;1,1;;F;271
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;4103;4918,1;0,01275;62,71;2,36;0;65,07;;F;098
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;625;1444,8;0,01275;18,43;0,7;0;19,13;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;9;18,2;0,01275;0,23;0,01;0;0,24;;M;902
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;54;160,4;0,00423;0,68;0,03;0;0,71;;F;232
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;19;13,8;0,00605;0,08;0;0;0,08;;F;092
;;;;;01;;;;6484744;24996797,8;;233347,13;8839,16;0;242186,29;;;
