CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;
034;010;202607;202607;MERVIV01;00;SENS;R;20;0,0;0,05000;1,00;0,04;0,00;1,04;
034;010;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;010;202607;202607;MERVIV02;00;SENS;N;912;0,0;0,05000;45,60;1,73;0,00;47,33;
034;010;202607;202607;MERVIV02;00;SENS;N;7;0,0;0,05000;0,35;0,01;0,00;0,36;
034;010;202607;202607;MERVIV02;00;SENS;N;8;0,0;0,05000;0,40;0,02;0,00;0,42;
034;010;202607;202607;MERVIV02;00;SENS;R;556;0,0;0,05000;27,80;1,05;0,00;28,85;
034;010;202607;202607;MERVIV02;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;010;202607;;;01;;;3857;0,00;;192,85;7,33;0,00;200,18;
034;020;202607;202607;MERVIV01;00;SENS;N;30;0,0;0,05000;1,50;0,06;0,00;1,56;
034;020;202607;202607;MERVIV01;00;SENS;R;25;0,0;0,05000;1,25;0,05;0,00;1,30;
034;020;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
034;020;202607;202607;MERVIV02;00;SENS;N;236;0,0;0,05000;11,80;0,45;0,00;12,25;
034;020;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;020;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
034;020;202607;202607;MERVIV02;00;SENS;N;3;0,0;0,05000;0,15;0,01;0,00;0,16;
034;020;202607;202607;MERVIV02;00;SENS;R;60;0,0;0,05000;3,00;0,11;0,00;3,11;
034;020;202607;202607;MERVIV02;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;020;202607;;;01;;;360;0,00;;18,00;0,68;0,00;18,68;
034;026;202607;202607;MERVIV01;00;SENS;N;6;0,0;0,05000;0,30;0,01;0,00;0,31;
034;026;202607;202607;MERVIV01;00;SENS;R;14;0,0;0,05000;0,70;0,03;0,00;0,73;
