CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;VALOR_TOTAL_REAL;OPERATOR_TYPE;EOT_CREDORA
012;010;202607;202607;FACX_5107;00;1LENI;N;41029;106969,8;0,00787;841,85;31,89;0,00;873,74;0,00;M;143
012;010;202607;202607;FACX_5107;00;1LENI;N;4;41,8;0,00787;0,33;0,01;0,00;0,34;0,00;M;203
012;010;202607;202607;FACX_5107;00;1LENI;R;116;305,4;0,00787;2,40;0,09;0,00;2,49;0,00;M;025
012;010;202607;202607;FACX_5107;00;1LENI;R;3761;6477,4;0,00787;50,98;1,93;0,00;52,91;0,00;M;143
012;010;202607;202607;FACX_5107;00;1LENI;R;1;25,7;0,00787;0,20;0,01;0,00;0,21;0,00;M;203
012;010;202607;202607;FACX_5107;00;1LENI;S;8;11,8;0,00787;0,09;0,00;0,00;0,09;0,00;M;025
012;010;202607;202607;FACX_5107;00;1LENI;S;344;517,7;0,00787;4,07;0,15;0,00;4,22;0,00;M;143
012;010;202607;202607;FACX_5111;00;1LENI;D;7;12,1;0,00787;0,10;0,00;0,00;0,10;0,00;M;143
012;010;202607;202607;FACX_5111;00;1LENI;N;9;14,4;0,00787;0,11;0,00;0,00;0,11;0,00;M;143
012;010;202607;202607;FACX_5132;00;1LENI;D;135;367,6;0,00787;2,89;0,11;0,00;3,00;0,00;M;143
012;010;202607;202607;FACX_5132;00;1LENI;N;71;155,3;0,00787;1,22;0,05;0,00;1,27;0,00;M;143
012;010;202607;202607;FACX_5132;00;1LENI;R;3;2,4;0,00787;0,02;0,00;0,00;0,02;0,00;M;143
012;010;202607;202607;FACX_5135;00;1LENI;D;295;461,9;0,00787;3,64;0,14;0,00;3,78;0,00;M;025
012;010;202607;202607;FACX_5135;00;1LENI;D;7787;20602,1;0,00787;162,14;6,14;0,00;168,28;0,00;M;143
012;010;202607;202607;FACX_5135;00;1LENI;N;229;358,2;0,00787;2,82;0,11;0,00;2,93;0,00;M;025
012;010;202607;202607;FACX_5135;00;1LENI;N;4283;10134,6;0,00787;79,76;3,02;0,00;82,78;0,00;M;143
012;010;202607;202607;FACX_5135;00;1LENI;R;84;308,5;0,00787;2,43;0,09;0,00;2,52;0,00;M;025
012;010;202607;202607;FACX_5135;00;1LENI;R;725;1442,3;0,00787;11,35;0,43;0,00;11,78;0,00;M;143
012;010;202607;202607;FACX_5135;00;1LENI;S;2;2,2;0,00787;0,02;0,00;0,00;0,02;0,00;M;025
012;010;202607;202607;FACX_5135;00;1LENI;S;47;70,6;0,00787;0,56;0,02;0,00;0,58;0,00;M;143
012;010;202607;202607;FACX_6176;00;1LENI;D;7327;15029,5;0,00787;118,28;4,48;0,00;122,76;0,00;M;025
012;010;202607;202607;FACX_6176;00;1LENI;D;19246;55165,9;0,00787;434,16;16,45;0,00;450,61;0,00;M;143
012;010;202607;202607;FACX_6176;00;1LENI;N;4842;10503,2;0,00787;82,66;3,13;0,00;85,79;0,00;M;025
012;010;202607;202607;FACX_6176;00;1LENI;N;9982;24460,8;0,00787;192,51;7,29;0,00;199,80;0,00;M;143
012;010;202607;202607;FACX_6176;00;1LENI;R;1284;3565,7;0,00787;28,06;1,06;0,00;29,12;0,00;M;025
012;010;202607;202607;FACX_6176;00;1LENI;R;1835;3252,7;0,00787;25,60;0,97;0,00;26,57;0,00;M;143
012;010;202607;202607;FACX_6176;00;1LENI;S;61;70,4;0,00787;0,55;0,02;0,00;0,57;0,00;M;025
012;010;202607;202607;FACX_6176;00;1LENI;S;116;233,2;0,00787;1,84;0,07;0,00;1,91;0,00;M;143
012;010;202607;202607;SPOX_0046;00;1LENI;D;45;84,9;0,00787;0,67;0,03;0,00;0,70;0,00;M;025
012;010;202607;202607;SPOX_0046;00;1LENI;N;39;55,5;0,00787;0,44;0,02;0,00;0,46;0,00;M;025
012;010;202607;202607;SPOX_0046;00;1LENI;R;40;76,3;0,00787;0,60;0,02;0,00;0,62;0,00;M;025
012;010;202607;202607;SPOX_0046;00;1LENI;S;10;17,1;0,00787;0,13;0,01;0,00;0,14;0,00;M;025
012;010;202607;202607;SPOX_0089;00;1LENI;D;6;10,6;0,00787;0,08;0,00;0,00;0,08;0,00;M;143
012;010;202607;202607;SPOX_0089;00;1LENI;N;1;4,0;0,00787;0,03;0,00;0,00;0,03;0,00;M;143
012;010;202607;202607;SPOX_0090;00;1LENI;D;4;9,3;0,00787;0,07;0,00;0,00;0,07;0,00;M;143
012;010;202607;202607;SPOX_0090;00;1LENI;N;2;4,0;0,00787;0,03;0,00;0,00;0,03;0,00;M;143
012;010;202607;202607;SPOX_0134;00;1LENI;D;946;2427,9;0,00787;19,11;0,72;0,00;19,83;0,00;M;143
012;010;202607;202607;SPOX_0134;00;1LENI;N;574;1226,0;0,00787;9,65;0,37;0,00;10,02;0,00;M;143
012;010;202607;202607;SPOX_0134;00;1LENI;R;107;195,5;0,00787;1,54;0,06;0,00;1,60;0,00;M;143
012;010;202607;202607;SPOX_0134;00;1LENI;S;3;2,8;0,00787;0,02;0,00;0,00;0,02;0,00;M;143
012;010;202607;202607;SPOX_0346;00;1LENI;D;905;2264,5;0,00787;17,82;0,68;0,00;18,50;0,00;M;143
012;010;202607;202607;SPOX_0346;00;1LENI;N;587;1272,8;0,00787;10,02;0,38;0,00;10,40;0,00;M;143
012;010;202607;202607;SPOX_0346;00;1LENI;R;136;242,9;0,00787;1,91;0,07;0,00;1,98;0,00;M;143
012;010;202607;202607;SPOX_0346;00;1LENI;S;3;2,5;0,00787;0,02;0,00;0,00;0,02;0,00;M;143
012;010;202607;202607;SPOX_0738;00;1LENI;D;2782;6157,4;0,00787;48,46;1,84;0,00;50,30;0,00;M;143
012;010;202607;202607;SPOX_0738;00;1LENI;D;3;23,4;0,00787;0,18;0,01;0,00;0,19;0,00;M;203
012;010;202607;202607;SPOX_0738;00;1LENI;N;1275;2375,0;0,00787;18,69;0,71;0,00;19,40;0,00;M;143
012;010;202607;202607;SPOX_0738;00;1LENI;N;2;22,7;0,00787;0,18;0,01;0,00;0,19;0,00;M;203
012;010;202607;202607;SPOX_0738;00;1LENI;R;248;280,6;0,00787;2,21;0,08;0,00;2,29;0,00;M;143
012;010;202607;202607;SPOX_0738;00;1LENI;R;2;8,7;0,00787;0,07;0,00;0,00;0,07;0,00;M;203
012;010;202607;202607;SPOX_0738;00;1LENI;S;22;34,1;0,00787;0,27;0,01;0,00;0,28;0,00;M;143
012;010;202607;202607;SPOX_0738;00;1LENI;S;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;M;203
012;010;202607;202607;SPOX_0810;00;1LENI;D;311;925,4;0,00787;7,28;0,28;0,00;7,56;0,00;M;143
012;010;202607;202607;SPOX_0810;00;1LENI;N;166;458,5;0,00787;3,61;0,14;0,00;3,75;0,00;M;143
012;010;202607;202607;SPOX_0810;00;1LENI;R;4;5,1;0,00787;0,04;0,00;0,00;0,04;0,00;M;143
012;010;202607;202607;SPOX_1007;00;1LENI;D;2;5,3;0,00787;0,04;0,00;0,00;0,04;0,00;M;143
012;010;202607;202607;SPOX_1007;00;1LENI;N;2;4,0;0,00787;0,03;0,00;0,00;0,03;0,00;M;143
012;010;202607;202607;SPOX_1270;00;1LENI;D;5;18,8;0,00787;0,15;0,01;0,00;0,16;0,00;M;143
012;010;202607;202607;SPOX_1270;00;1LENI;N;1;1,5;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;SPOX_1285;00;1LENI;D;1;8,6;0,00787;0,07;0,00;0,00;0,07;0,00;M;011
012;010;202607;202607;SPOX_1285;00;1LENI;D;2959;6426,2;0,00787;50,57;1,92;0,00;52,49;0,00;M;143
012;010;202607;202607;SPOX_1285;00;1LENI;D;1;4,7;0,00787;0,04;0,00;0,00;0,04;0,00;M;203
012;010;202607;202607;SPOX_1285;00;1LENI;N;1313;2381,8;0,00787;18,74;0,71;0,00;19,45;0,00;M;143
012;010;202607;202607;SPOX_1285;00;1LENI;N;3;79,5;0,00787;0,63;0,02;0,00;0,65;0,00;M;203
012;010;202607;202607;SPOX_1285;00;1LENI;R;243;300,5;0,00787;2,36;0,09;0,00;2,45;0,00;M;143
012;010;202607;202607;SPOX_1285;00;1LENI;R;5;25,4;0,00787;0,20;0,01;0,00;0,21;0,00;M;203
012;010;202607;202607;SPOX_1285;00;1LENI;S;12;16,3;0,00787;0,13;0,00;0,00;0,13;0,00;M;143
012;010;202607;202607;SPOX_1285;00;1LENI;S;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;M;203
012;010;202607;202607;SPOX_6685;00;1LENI;D;100;278,8;0,00787;2,19;0,08;0,00;2,27;0,00;M;325
012;010;202607;202607;SPOX_6685;00;1LENI;N;77;315,1;0,00787;2,48;0,09;0,00;2,57;0,00;M;325
012;010;202607;202607;SPOX_6685;00;1LENI;R;30;34,0;0,00787;0,27;0,01;0,00;0,28;0,00;M;325
012;010;202607;202607;SPOX_6685;00;1LENI;S;5;7,1;0,00787;0,06;0,00;0,00;0,06;0,00;M;325
012;010;202607;202607;SPOX_6693;00;1LENI;D;12;21,4;0,00787;0,17;0,01;0,00;0,18;0,00;M;143
012;010;202607;202607;SPOX_6693;00;1LENI;N;4;9,6;0,00787;0,08;0,00;0,00;0,08;0,00;M;143
012;010;202607;202607;SPOX_8441;00;1LENI;D;2;8,4;0,00787;0,07;0,00;0,00;0,07;0,00;M;143
012;010;202607;202607;SPOX_8441;00;1LENI;N;1;3,7;0,00787;0,03;0,00;0,00;0,03;0,00;M;143
