2026-08-17 17:21:21.718 | INFO    |test_captacao_expectativa:test_referencia_explicita_manda:255 - [Expectativa] Procurando os arquivos _D de 202601 em 5 pasta(s) de origem.
2026-08-17 17:21:21.718 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_SMS_ITF -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.718 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 1 de 2 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.720 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: Vivo/A_202601_D.csv
2026-08-17 17:21:21.720 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TELEFONICA -> TLF: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.720 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.721 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.726 | INFO    |test_captacao_expectativa:test_sem_referencia_usa_a_competencia_do_ambiente:269 - [Expectativa] Procurando os arquivos _D de 202507 em 5 pasta(s) de origem.
2026-08-17 17:21:21.726 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_SMS_ITF -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.727 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 1 de 2 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.728 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: Vivo/A_202507_D.csv
2026-08-17 17:21:21.728 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TELEFONICA -> TLF: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.728 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.729 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.738 | INFO    |test_captacao_expectativa:test_pasta_plana_roteia_pelo_nome:290 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.739 | INFO    |src.services.captacao_expectativa:executar:191 - [Expectativa] Origem simulada em disco: [C:\Users\Btime Soluções\AppData\Local\Temp\pytest-of-Btime Soluções\pytest-24\test_pasta_plana_roteia_pelo_n0\origem]
2026-08-17 17:21:21.740 | INFO    |src.services.captacao_expectativa:_origens_de:218 - [Expectativa] A origem é um diretório plano — o destino de cada arquivo sai do nome dele.
2026-08-17 17:21:21.740 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] C:\Users\Btime Soluções\AppData\Local\Temp\pytest-of-Btime Soluções\pytest-24\test_pasta_plana_roteia_pelo_n0\origem -> pelo nome: 2 de 3 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.742 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: Vivo/A_202603_SMP_VIVO_D.csv
2026-08-17 17:21:21.744 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: TLF/B_202603_STF_TLF_D.csv
2026-08-17 17:21:21.750 | INFO    |test_captacao_expectativa:test_arquivo_sem_pasta_no_nome_falha_dizendo:310 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.750 | INFO    |src.services.captacao_expectativa:executar:191 - [Expectativa] Origem simulada em disco: [C:\Users\Btime Soluções\AppData\Local\Temp\pytest-of-Btime Soluções\pytest-24\test_arquivo_sem_pasta_no_nome0\origem]
2026-08-17 17:21:21.751 | INFO    |src.services.captacao_expectativa:_origens_de:218 - [Expectativa] A origem é um diretório plano — o destino de cada arquivo sai do nome dele.
